ssd,current_spot_price
2015-11-24,1433.0
2015-11-25,1428.0
2015-11-26,1470.0
2015-11-27,1480.0
2015-11-30,1442.0
2015-12-01,1442.0
2015-12-02,1460.0
2015-12-03,1462.0
2015-12-04,1503.0
2015-12-07,1498.0
2015-12-08,1462.0
2015-12-09,1494.0
2015-12-10,1479.0
2015-12-11,1500.0
2015-12-14,1476.0
2015-12-15,1477.0
2015-12-16,1478.0
2015-12-17,1482.0
2015-12-18,1508.0
2015-12-21,1510.0
2015-12-22,1518.0
2015-12-23,1539.0
2015-12-24,1541.0
2015-12-25,1539.0
2015-12-28,1537.0
2015-12-29,1535.0
2015-12-30,1507.0
2015-12-31,1508.0
2016-01-01,1487.0
2016-01-04,1466.0
2016-01-05,1473.0
2016-01-06,1457.0
2016-01-07,1455.0
2016-01-08,1476.0
2016-01-11,1472.0
2016-01-12,1457.0
2016-01-13,1453.0
2016-01-14,1478.0
2016-01-15,1468.0
2016-01-18,1486.0
2016-01-19,1494.0
2016-01-20,1462.0
2016-01-21,1543.5
2016-01-22,1498.0
2016-01-25,1480.0
2016-01-26,1480.0
2016-01-27,1508.0
2016-01-28,1527.0
2016-01-29,1530.0
2016-02-01,1520.0
2016-02-02,1524.0
2016-02-03,1514.0
2016-02-04,1532.0
2016-02-05,1531.0
2016-02-08,1496.0
2016-02-09,1492.0
2016-02-10,1499.0
2016-02-11,1494.0
2016-02-12,1499.0
2016-02-15,1506.0
2016-02-16,1528.0
2016-02-17,1520.0
2016-02-18,1530.0
2016-02-19,1552.0
2016-02-22,1573.0
2016-02-23,1576.0
2016-02-24,1552.0
2016-02-25,1600.0
2016-02-26,1588.0
2016-02-29,1622.0
2016-03-01,1590.0
2016-03-02,1597.0
2016-03-03,1604.0
2016-03-04,1588.0
2016-03-07,1600.0
2016-03-08,1590.0
2016-03-09,1564.0
2016-03-10,1565.0
2016-03-11,1548.0
2016-03-14,1532.0
2016-03-15,1508.0
2016-03-16,1495.0
2016-03-17,1504.0
2016-03-18,1498.0
2016-03-21,1486.0
2016-03-22,1481.0
2016-03-23,1480.0
2016-03-24,1470.0
2016-03-25,1471.0
2016-03-28,1472.0
2016-03-29,1473.0
2016-03-30,1478.0
2016-03-31,1492.0
2016-04-01,1524.0
2016-04-04,1523.0
2016-04-05,1498.0
2016-04-06,1481.0
2016-04-07,1485.0
2016-04-08,1492.0
2016-04-11,1494.0
2016-04-12,1514.0
2016-04-13,1546.0
2016-04-14,1548.0
2016-04-15,1535.0
2016-04-18,1547.0
2016-04-19,1564.0
2016-04-20,1598.0
2016-04-21,1628.0
2016-04-22,1635.0
2016-04-25,1641.0
2016-04-26,1632.0
2016-04-27,1642.0
2016-04-28,1649.0
2016-04-29,1673.0
2016-05-02,1651.0
2016-05-03,1629.0
2016-05-04,1611.0
2016-05-05,1602.0
2016-05-06,1599.0
2016-05-09,1556.0
2016-05-10,1542.0
2016-05-11,1560.0
2016-05-12,1575.0
2016-05-13,1529.0
2016-05-16,1526.0
2016-05-17,1532.0
2016-05-18,1530.0
2016-05-19,1536.0
2016-05-20,1559.0
2016-05-23,1526.0
2016-05-24,1553.0
2016-05-25,1539.0
2016-05-26,1553.0
2016-05-27,1552.0
2016-05-30,1550.0
2016-05-31,1548.0
2016-06-01,1544.0
2016-06-02,1559.0
2016-06-03,1543.0
2016-06-06,1548.0
2016-06-07,1541.0
2016-06-08,1596.0
2016-06-09,1591.0
2016-06-10,1584.0
2016-06-13,1582.0
2016-06-14,1605.0
2016-06-15,1614.0
2016-06-16,1592.0
2016-06-17,1602.0
2016-06-20,1608.0
2016-06-21,1624.0
2016-06-22,1624.0
2016-06-23,1628.0
2016-06-24,1600.0
2016-06-27,1592.0
2016-06-28,1602.0
2016-06-29,1614.0
2016-06-30,1635.0
2016-07-01,1645.0
2016-07-04,1623.0
